# time  thetat  wt  thetasmall  wsmall  Et  dE/T  t/T
0  1.3614  0  1.3614  0  7.7704  0  0
0  1.3614  -0.0095956  1.3614  0  7.7704  5.6979e-17  0
0.001  1.3613  -0.019191  1.3614  -0.013355  7.7704  1.1396e-16  0.00049849
0.002  1.3613  -0.028787  1.3613  -0.02671  7.7704  1.1396e-16  0.00099698
0.003  1.3613  -0.038382  1.3613  -0.040064  7.7704  1.7094e-16  0.0014955
0.004  1.3612  -0.047978  1.3612  -0.053418  7.7704  3.4187e-16  0.001994
0.005  1.3612  -0.057573  1.3612  -0.066772  7.7704  2.8489e-16  0.0024924
0.006  1.3611  -0.067168  1.3611  -0.080125  7.7704  2.8489e-16  0.0029909
0.007  1.361  -0.076763  1.361  -0.093477  7.7704  2.8489e-16  0.0034894
0.008  1.361  -0.086358  1.3609  -0.10683  7.7704  3.9885e-16  0.0039879
0.009  1.3609  -0.095953  1.3608  -0.12018  7.7704  4.5583e-16  0.0044864
0.01  1.3608  -0.10555  1.3607  -0.13353  7.7704  5.1281e-16  0.0049849
0.011  1.3607  -0.11514  1.3605  -0.14687  7.7704  5.1281e-16  0.0054834
0.012  1.3605  -0.12474  1.3604  -0.16022  7.7704  4.5583e-16  0.0059819
0.013  1.3604  -0.13433  1.3602  -0.17357  7.7704  5.6979e-16  0.0064803
0.014  1.3603  -0.14392  1.36  -0.18691  7.7704  6.8374e-16  0.0069788
0.015  1.3601  -0.15352  1.3599  -0.20025  7.7704  7.4072e-16  0.0074773
0.016  1.36  -0.16311  1.3596  -0.21359  7.7704  8.5468e-16  0.0079758
0.017  1.3598  -0.1727  1.3594  -0.22693  7.7704  9.6864e-16  0.0084743
0.018  1.3596  -0.18229  1.3592  -0.24026  7.7704  1.0256e-15  0.0089728
0.019  1.3594  -0.19189  1.3589  -0.25359  7.7704  1.0826e-15  0.0094713
0.02  1.3592  -0.20148  1.3587  -0.26692  7.7704  1.1966e-15  0.0099698
0.021  1.359  -0.21107  1.3584  -0.28025  7.7704  1.3105e-15  0.010468
0.022  1.3588  -0.22066  1.3581  -0.29358  7.7704  1.4245e-15  0.010967
0.023  1.3586  -0.23025  1.3578  -0.3069  7.7704  1.5384e-15  0.011465
0.024  1.3584  -0.23984  1.3575  -0.32022  7.7704  1.7094e-15  0.011964
0.025  1.3581  -0.24943  1.3572  -0.33353  7.7704  1.8233e-15  0.012462
0.026  1.3579  -0.25902  1.3568  -0.34684  7.7704  1.8803e-15  0.012961
0.027  1.3576  -0.26861  1.3565  -0.36015  7.7704  2.1082e-15  0.013459
0.028  1.3573  -0.27819  1.3561  -0.37346  7.7704  2.2222e-15  0.013958
0.029  1.357  -0.28778  1.3557  -0.38676  7.7704  2.3931e-15  0.014456
0.03  1.3567  -0.29737  1.3554  -0.40006  7.7704  2.5071e-15  0.014955
0.031  1.3564  -0.30695  1.3549  -0.41335  7.7704  2.678e-15  0.015453
0.032  1.3561  -0.31654  1.3545  -0.42664  7.7704  2.9059e-15  0.015952
0.033  1.3558  -0.32612  1.3541  -0.43993  7.7704  3.0768e-15  0.01645
0.034  1.3555  -0.33571  1.3536  -0.45321  7.7704  3.2478e-15  0.016949
0.035  1.3551  -0.34529  1.3532  -0.46649  7.7704  3.4757e-15  0.017447
0.036  1.3548  -0.35487  1.3527  -0.47976  7.7704  3.5327e-15  0.017946
0.037  1.3544  -0.36445  1.3522  -0.49303  7.7704  3.7606e-15  0.018444
0.038  1.3541  -0.37403  1.3517  -0.50629  7.7704  3.9315e-15  0.018943
0.039  1.3537  -0.38361  1.3512  -0.51955  7.7704  4.2164e-15  0.019441
0.04  1.3533  -0.39319  1.3507  -0.5328  7.7704  4.4443e-15  0.01994
0.041  1.3529  -0.40277  1.3501  -0.54605  7.7704  4.6723e-15  0.020438
0.042  1.3525  -0.41235  1.3496  -0.55929  7.7704  4.8432e-15  0.020936
0.043  1.3521  -0.42193  1.349  -0.57253  7.7704  5.1281e-15  0.021435
0.044  1.3516  -0.4315  1.3484  -0.58576  7.7704  5.356e-15  0.021933
0.045  1.3512  -0.44108  1.3479  -0.59898  7.7704  5.6409e-15  0.022432
0.046  1.3508  -0.45065  1.3473  -0.6122  7.7704  5.9258e-15  0.02293
0.047  1.3503  -0.46022  1.3466  -0.62542  7.7704  6.0967e-15  0.023429
0.048  1.3498  -0.4698  1.346  -0.63862  7.7704  6.4956e-15  0.023927
0.049  1.3494  -0.47937  1.3454  -0.65182  7.7704  6.7805e-15  0.024426
0.05  1.3489  -0.48894  1.3447  -0.66502  7.7704  6.9514e-15  0.024924
0.051  1.3484  -0.49851  1.344  -0.67821  7.7704  7.2933e-15  0.025423
0.052  1.3479  -0.50807  1.3433  -0.69139  7.7704  7.6351e-15  0.025921
0.053  1.3474  -0.51764  1.3426  -0.70456  7.7704  7.977e-15  0.02642
0.054  1.3469  -0.52721  1.3419  -0.71773  7.7704  8.2049e-15  0.026918
0.055  1.3463  -0.53677  1.3412  -0.73089  7.7704  8.5468e-15  0.027417
0.056  1.3458  -0.54633  1.3405  -0.74405  7.7704  8.9456e-15  0.027915
0.057  1.3452  -0.5559  1.3397  -0.75719  7.7704  9.2305e-15  0.028414
0.058  1.3447  -0.56546  1.339  -0.77033  7.7704  9.5724e-15  0.028912
0.059  1.3441  -0.57502  1.3382  -0.78346  7.7704  9.9713e-15  0.029411
0.06  1.3435  -0.58457  1.3374  -0.79659  7.7704  1.0313e-14  0.029909
0.061  1.3429  -0.59413  1.3366  -0.8097  7.7704  1.0655e-14  0.030408
0.062  1.3423  -0.60369  1.3358  -0.82281  7.7704  1.1054e-14  0.030906
0.063  1.3417  -0.61324  1.3349  -0.83591  7.7704  1.151e-14  0.031405
0.064  1.3411  -0.62279  1.3341  -0.849  7.7704  1.1852e-14  0.031903
0.065  1.3405  -0.63235  1.3332  -0.86209  7.7704  1.225e-14  0.032402
0.066  1.3398  -0.6419  1.3324  -0.87516  7.7704  1.2535e-14  0.0329
0.067  1.3392  -0.65145  1.3315  -0.88823  7.7704  1.282e-14  0.033399
0.068  1.3385  -0.66099  1.3306  -0.90128  7.7704  1.3276e-14  0.033897
0.069  1.3379  -0.67054  1.3297  -0.91433  7.7704  1.3618e-14  0.034396
0.07  1.3372  -0.68008  1.3288  -0.92737  7.7704  1.4074e-14  0.034894
0.071  1.3365  -0.68963  1.3278  -0.9404  7.7704  1.4416e-14  0.035393
0.072  1.3358  -0.69917  1.3269  -0.95342  7.7704  1.4814e-14  0.035891
0.073  1.3351  -0.70871  1.3259  -0.96644  7.7704  1.5156e-14  0.03639
0.074  1.3344  -0.71824  1.325  -0.97944  7.7704  1.5498e-14  0.036888
0.075  1.3337  -0.72778  1.324  -0.99243  7.7704  1.6011e-14  0.037387
0.076  1.3329  -0.73732  1.323  -1.0054  7.7704  1.6524e-14  0.037885
0.077  1.3322  -0.74685  1.322  -1.0184  7.7704  1.698e-14  0.038384
0.078  1.3314  -0.75638  1.3209  -1.0314  7.7704  1.7322e-14  0.038882
0.079  1.3307  -0.76591  1.3199  -1.0443  7.7704  1.7777e-14  0.039381
0.08  1.3299  -0.77544  1.3188  -1.0572  7.7704  1.8176e-14  0.039879
0.081  1.3291  -0.78496  1.3178  -1.0702  7.7704  1.8575e-14  0.040378
0.082  1.3283  -0.79449  1.3167  -1.0831  7.7704  1.9031e-14  0.040876
0.083  1.3275  -0.80401  1.3156  -1.096  7.7704  1.9487e-14  0.041374
0.084  1.3267  -0.81353  1.3145  -1.1089  7.7704  1.9943e-14  0.041873
0.085  1.3259  -0.82305  1.3134  -1.1218  7.7704  2.0455e-14  0.042371
0.086  1.3251  -0.83256  1.3123  -1.1347  7.7704  2.0854e-14  0.04287
0.087  1.3243  -0.84208  1.3111  -1.1476  7.7704  2.1253e-14  0.043368
0.088  1.3234  -0.85159  1.31  -1.1604  7.7704  2.1766e-14  0.043867
0.089  1.3225  -0.8611  1.3088  -1.1733  7.7704  2.2393e-14  0.044365
0.09  1.3217  -0.87061  1.3076  -1.1861  7.7704  2.2905e-14  0.044864
0.091  1.3208  -0.88012  1.3064  -1.1989  7.7704  2.3361e-14  0.045362
0.092  1.3199  -0.88962  1.3052  -1.2117  7.7704  2.376e-14  0.045861
0.093  1.319  -0.89912  1.304  -1.2245  7.7704  2.4216e-14  0.046359
0.094  1.3181  -0.90862  1.3028  -1.2373  7.7704  2.4729e-14  0.046858
0.095  1.3172  -0.91812  1.3015  -1.2501  7.7704  2.5242e-14  0.047356
0.096  1.3163  -0.92761  1.3003  -1.2628  7.7704  2.5754e-14  0.047855
0.097  1.3154  -0.93711  1.299  -1.2756  7.7704  2.621e-14  0.048353
0.098  1.3144  -0.9466  1.2977  -1.2883  7.7704  2.678e-14  0.048852
0.099  1.3135  -0.95608  1.2964  -1.3011  7.7704  2.7293e-14  0.04935
0.1  1.3125  -0.96557  1.2951  -1.3138  7.7704  2.7863e-14  0.049849
0.101  1.3115  -0.97505  1.2938  -1.3265  7.7704  2.8432e-14  0.050347
0.102  1.3106  -0.98453  1.2925  -1.3391  7.7704  2.9059e-14  0.050846
0.103  1.3096  -0.99401  1.2911  -1.3518  7.7704  2.9515e-14  0.051344
0.104  1.3086  -1.0035  1.2898  -1.3645  7.7704  3.0028e-14  0.051843
0.105  1.3076  -1.013  1.2884  -1.3771  7.7704  3.0655e-14  0.052341
0.106  1.3065  -1.0224  1.287  -1.3898  7.7704  3.1224e-14  0.05284
0.107  1.3055  -1.0319  1.2856  -1.4024  7.7704  3.1794e-14  0.053338
0.108  1.3045  -1.0414  1.2842  -1.415  7.7704  3.2421e-14  0.053837
0.109  1.3034  -1.0508  1.2828  -1.4276  7.7704  3.3048e-14  0.054335
0.11  1.3024  -1.0603  1.2814  -1.4401  7.7704  3.3503e-14  0.054834
0.111  1.3013  -1.0697  1.2799  -1.4527  7.7704  3.4073e-14  0.055332
0.112  1.3002  -1.0792  1.2785  -1.4653  7.7704  3.4643e-14  0.055831
0.113  1.2992  -1.0887  1.277  -1.4778  7.7704  3.5099e-14  0.056329
0.114  1.2981  -1.0981  1.2755  -1.4903  7.7704  3.5669e-14  0.056828
0.115  1.297  -1.1075  1.274  -1.5028  7.7704  3.6352e-14  0.057326
0.116  1.2958  -1.117  1.2725  -1.5153  7.7704  3.6922e-14  0.057825
0.117  1.2947  -1.1264  1.271  -1.5278  7.7704  3.7549e-14  0.058323
0.118  1.2936  -1.1359  1.2694  -1.5402  7.7704  3.8176e-14  0.058822
0.119  1.2924  -1.1453  1.2679  -1.5527  7.7704  3.8632e-14  0.05932
0.12  1.2913  -1.1547  1.2663  -1.5651  7.7704  3.9315e-14  0.059819
0.121  1.2901  -1.1642  1.2648  -1.5775  7.7704  3.9999e-14  0.060317
0.122  1.289  -1.1736  1.2632  -1.5899  7.7704  4.0626e-14  0.060816
0.123  1.2878  -1.183  1.2616  -1.6023  7.7704  4.1253e-14  0.061314
0.124  1.2866  -1.1924  1.26  -1.6147  7.7704  4.1879e-14  0.061813
0.125  1.2854  -1.2018  1.2583  -1.627  7.7704  4.2506e-14  0.062311
0.126  1.2842  -1.2113  1.2567  -1.6394  7.7704  4.3076e-14  0.062809
0.127  1.283  -1.2207  1.2551  -1.6517  7.7704  4.376e-14  0.063308
0.128  1.2818  -1.2301  1.2534  -1.664  7.7704  4.4272e-14  0.063806
0.129  1.2805  -1.2395  1.2517  -1.6763  7.7704  4.4899e-14  0.064305
0.13  1.2793  -1.2489  1.2501  -1.6886  7.7704  4.5526e-14  0.064803
0.131  1.278  -1.2583  1.2484  -1.7008  7.7704  4.6153e-14  0.065302
0.132  1.2768  -1.2676  1.2467  -1.7131  7.7704  4.6723e-14  0.0658
0.133  1.2755  -1.277  1.2449  -1.7253  7.7704  4.7463e-14  0.066299
0.134  1.2742  -1.2864  1.2432  -1.7375  7.7704  4.809e-14  0.066797
0.135  1.2729  -1.2958  1.2415  -1.7497  7.7704  4.8774e-14  0.067296
0.136  1.2716  -1.3052  1.2397  -1.7618  7.7704  4.9344e-14  0.067794
0.137  1.2703  -1.3145  1.2379  -1.774  7.7704  5.0141e-14  0.068293
0.138  1.269  -1.3239  1.2362  -1.7861  7.7704  5.0654e-14  0.068791
0.139  1.2677  -1.3333  1.2344  -1.7982  7.7704  5.1395e-14  0.06929
0.14  1.2663  -1.3426  1.2326  -1.8103  7.7704  5.2022e-14  0.069788
0.141  1.265  -1.352  1.2307  -1.8224  7.7704  5.2762e-14  0.070287
0.142  1.2636  -1.3614  1.2289  -1.8345  7.7704  5.3332e-14  0.070785
0.143  1.2623  -1.3707  1.2271  -1.8465  7.7704  5.3959e-14  0.071284
0.144  1.2609  -1.38  1.2252  -1.8586  7.7704  5.4586e-14  0.071782
0.145  1.2595  -1.3894  1.2234  -1.8706  7.7704  5.5212e-14  0.072281
0.146  1.2581  -1.3987  1.2215  -1.8826  7.7704  5.5953e-14  0.072779
0.147  1.2567  -1.4081  1.2196  -1.8945  7.7704  5.6694e-14  0.073278
0.148  1.2553  -1.4174  1.2177  -1.9065  7.7704  5.7378e-14  0.073776
0.149  1.2539  -1.4267  1.2158  -1.9184  7.7704  5.8118e-14  0.074275
0.15  1.2524  -1.436  1.2139  -1.9304  7.7704  5.8802e-14  0.074773
0.151  1.251  -1.4453  1.2119  -1.9422  7.7704  5.9429e-14  0.075272
0.152  1.2495  -1.4546  1.21  -1.9541  7.7704  6.0169e-14  0.07577
0.153  1.2481  -1.464  1.208  -1.966  7.7704  6.0853e-14  0.076269
0.154  1.2466  -1.4733  1.206  -1.9778  7.7704  6.1594e-14  0.076767
0.155  1.2451  -1.4826  1.2041  -1.9897  7.7704  6.2278e-14  0.077266
0.156  1.2436  -1.4918  1.2021  -2.0015  7.7704  6.3018e-14  0.077764
0.157  1.2421  -1.5011  1.2001  -2.0132  7.7704  6.3702e-14  0.078263
0.158  1.2406  -1.5104  1.198  -2.025  7.7704  6.4443e-14  0.078761
0.159  1.2391  -1.5197  1.196  -2.0367  7.7704  6.5241e-14  0.07926
0.16  1.2376  -1.529  1.194  -2.0485  7.7704  6.5867e-14  0.079758
0.161  1.2361  -1.5382  1.1919  -2.0602  7.7704  6.6551e-14  0.080257
0.162  1.2345  -1.5475  1.1898  -2.0718  7.7704  6.7292e-14  0.080755
0.163  1.233  -1.5568  1.1878  -2.0835  7.7704  6.809e-14  0.081254
0.164  1.2314  -1.566  1.1857  -2.0952  7.7704  6.883e-14  0.081752
0.165  1.2298  -1.5753  1.1836  -2.1068  7.7704  6.9685e-14  0.082251
0.166  1.2283  -1.5845  1.1815  -2.1184  7.7704  7.0369e-14  0.082749
0.167  1.2267  -1.5937  1.1793  -2.13  7.7704  7.1166e-14  0.083247
0.168  1.2251  -1.603  1.1772  -2.1415  7.7704  7.1907e-14  0.083746
0.169  1.2235  -1.6122  1.1751  -2.1531  7.7704  7.2762e-14  0.084244
0.17  1.2219  -1.6214  1.1729  -2.1646  7.7704  7.3389e-14  0.084743
0.171  1.2202  -1.6306  1.1707  -2.1761  7.7704  7.4243e-14  0.085241
0.172  1.2186  -1.6398  1.1685  -2.1875  7.7704  7.4984e-14  0.08574
0.173  1.2169  -1.649  1.1663  -2.199  7.7704  7.5611e-14  0.086238
0.174  1.2153  -1.6582  1.1641  -2.2104  7.7704  7.6408e-14  0.086737
0.175  1.2136  -1.6674  1.1619  -2.2218  7.7704  7.7149e-14  0.087235
0.176  1.212  -1.6766  1.1597  -2.2332  7.7704  7.7947e-14  0.087734
0.177  1.2103  -1.6858  1.1575  -2.2446  7.7704  7.8574e-14  0.088232
0.178  1.2086  -1.695  1.1552  -2.2559  7.7704  7.9314e-14  0.088731
0.179  1.2069  -1.7042  1.153  -2.2672  7.7704  8.0055e-14  0.089229
0.18  1.2052  -1.7133  1.1507  -2.2785  7.7704  8.0739e-14  0.089728
0.181  1.2035  -1.7225  1.1484  -2.2898  7.7704  8.1593e-14  0.090226
0.182  1.2017  -1.7316  1.1461  -2.3011  7.7704  8.222e-14  0.090725
0.183  1.2  -1.7408  1.1438  -2.3123  7.7704  8.3018e-14  0.091223
0.184  1.1982  -1.7499  1.1415  -2.3235  7.7704  8.3645e-14  0.091722
0.185  1.1965  -1.7591  1.1391  -2.3347  7.7704  8.4385e-14  0.09222
0.186  1.1947  -1.7682  1.1368  -2.3459  7.7704  8.5012e-14  0.092719
0.187  1.193  -1.7773  1.1345  -2.357  7.7704  8.5867e-14  0.093217
0.188  1.1912  -1.7864  1.1321  -2.3681  7.7704  8.6608e-14  0.093716
0.189  1.1894  -1.7955  1.1297  -2.3792  7.7704  8.7291e-14  0.094214
0.19  1.1876  -1.8046  1.1273  -2.3903  7.7704  8.8032e-14  0.094713
0.191  1.1858  -1.8137  1.1249  -2.4013  7.7704  8.8773e-14  0.095211
0.192  1.184  -1.8228  1.1225  -2.4124  7.7704  8.9513e-14  0.09571
0.193  1.1821  -1.8319  1.1201  -2.4234  7.7704  9.0197e-14  0.096208
0.194  1.1803  -1.841  1.1177  -2.4343  7.7704  9.0938e-14  0.096707
0.195  1.1784  -1.85  1.1152  -2.4453  7.7704  9.1622e-14  0.097205
0.196  1.1766  -1.8591  1.1128  -2.4562  7.7704  9.2362e-14  0.097704
0.197  1.1747  -1.8682  1.1103  -2.4671  7.7704  9.3103e-14  0.098202
0.198  1.1729  -1.8772  1.1079  -2.478  7.7704  9.373e-14  0.098701
0.199  1.171  -1.8862  1.1054  -2.4889  7.7704  9.4414e-14  0.099199
0.2  1.1691  -1.8953  1.1029  -2.4997  7.7704  9.5211e-14  0.099698
0.201  1.1672  -1.9043  1.1004  -2.5105  7.7704  9.5895e-14  0.1002
0.202  1.1653  -1.9133  1.0979  -2.5213  7.7704  9.675e-14  0.10069
0.203  1.1634  -1.9223  1.0953  -2.532  7.7704  9.7434e-14  0.10119
0.204  1.1614  -1.9313  1.0928  -2.5428  7.7704  9.8174e-14  0.10169
0.205  1.1595  -1.9403  1.0902  -2.5535  7.7704  9.8915e-14  0.10219
0.206  1.1576  -1.9493  1.0877  -2.5642  7.7704  9.9713e-14  0.10269
0.207  1.1556  -1.9583  1.0851  -2.5748  7.7704  1.004e-13  0.10319
0.208  1.1536  -1.9673  1.0825  -2.5855  7.7704  1.0114e-13  0.10369
0.209  1.1517  -1.9762  1.0799  -2.5961  7.7704  1.0176e-13  0.10418
0.21  1.1497  -1.9852  1.0773  -2.6066  7.7704  1.025e-13  0.10468
0.211  1.1477  -1.9941  1.0747  -2.6172  7.7704  1.0307e-13  0.10518
0.212  1.1457  -2.0031  1.0721  -2.6277  7.7704  1.0376e-13  0.10568
0.213  1.1437  -2.012  1.0695  -2.6382  7.7704  1.045e-13  0.10618
0.214  1.1417  -2.0209  1.0668  -2.6487  7.7704  1.0518e-13  0.10668
0.215  1.1396  -2.0299  1.0642  -2.6592  7.7704  1.0592e-13  0.10717
0.216  1.1376  -2.0388  1.0615  -2.6696  7.7704  1.0655e-13  0.10767
0.217  1.1356  -2.0477  1.0588  -2.68  7.7704  1.0729e-13  0.10817
0.218  1.1335  -2.0565  1.0562  -2.6904  7.7704  1.0792e-13  0.10867
0.219  1.1315  -2.0654  1.0535  -2.7007  7.7704  1.0854e-13  0.10917
0.22  1.1294  -2.0743  1.0508  -2.711  7.7704  1.0917e-13  0.10967
0.221  1.1273  -2.0832  1.048  -2.7213  7.7704  1.0991e-13  0.11017
0.222  1.1252  -2.092  1.0453  -2.7316  7.7704  1.1054e-13  0.11066
0.223  1.1231  -2.1009  1.0426  -2.7418  7.7704  1.1111e-13  0.11116
0.224  1.121  -2.1097  1.0398  -2.7521  7.7704  1.1185e-13  0.11166
0.225  1.1189  -2.1185  1.0371  -2.7622  7.7704  1.1253e-13  0.11216
0.226  1.1168  -2.1274  1.0343  -2.7724  7.7704  1.1316e-13  0.11266
0.227  1.1146  -2.1362  1.0315  -2.7825  7.7704  1.1384e-13  0.11316
0.228  1.1125  -2.145  1.0287  -2.7926  7.7704  1.1441e-13  0.11366
0.229  1.1104  -2.1538  1.0259  -2.8027  7.7704  1.1498e-13  0.11415
0.23  1.1082  -2.1626  1.0231  -2.8128  7.7704  1.1555e-13  0.11465
0.231  1.106  -2.1713  1.0203  -2.8228  7.7704  1.1624e-13  0.11515
0.232  1.1039  -2.1801  1.0175  -2.8328  7.7704  1.1686e-13  0.11565
0.233  1.1017  -2.1889  1.0147  -2.8428  7.7704  1.1749e-13  0.11615
0.234  1.0995  -2.1976  1.0118  -2.8527  7.7704  1.1812e-13  0.11665
0.235  1.0973  -2.2063  1.0089  -2.8626  7.7704  1.1869e-13  0.11714
0.236  1.0951  -2.2151  1.0061  -2.8725  7.7704  1.1931e-13  0.11764
0.237  1.0928  -2.2238  1.0032  -2.8823  7.7704  1.2e-13  0.11814
0.238  1.0906  -2.2325  1.0003  -2.8922  7.7704  1.2062e-13  0.11864
0.239  1.0884  -2.2412  0.99742  -2.902  7.7704  1.2114e-13  0.11914
0.24  1.0861  -2.2499  0.99451  -2.9117  7.7704  1.2182e-13  0.11964
0.241  1.0839  -2.2585  0.99159  -2.9215  7.7704  1.2239e-13  0.12014
0.242  1.0816  -2.2672  0.98867  -2.9312  7.7704  1.2296e-13  0.12063
0.243  1.0793  -2.2759  0.98573  -2.9409  7.7704  1.2353e-13  0.12113
0.244  1.0771  -2.2845  0.98278  -2.9505  7.7704  1.2404e-13  0.12163
0.245  1.0748  -2.2931  0.97983  -2.9602  7.7704  1.2456e-13  0.12213
0.246  1.0725  -2.3018  0.97686  -2.9698  7.7704  1.2513e-13  0.12263
0.247  1.0702  -2.3104  0.97389  -2.9793  7.7704  1.2569e-13  0.12313
0.248  1.0679  -2.319  0.97091  -2.9889  7.7704  1.2632e-13  0.12363
0.249  1.0655  -2.3276  0.96791  -2.9984  7.7704  1.2683e-13  0.12412
0.25  1.0632  -2.3361  0.96491  -3.0079  7.7704  1.274e-13  0.12462
0.251  1.0609  -2.3447  0.9619  -3.0173  7.7704  1.2775e-13  0.12512
0.252  1.0585  -2.3533  0.95887  -3.0267  7.7704  1.2826e-13  0.12562
0.253  1.0562  -2.3618  0.95584  -3.0361  7.7704  1.2866e-13  0.12612
0.254  1.0538  -2.3703  0.9528  -3.0455  7.7704  1.2923e-13  0.12662
0.255  1.0514  -2.3789  0.94975  -3.0548  7.7704  1.2968e-13  0.12711
0.256  1.049  -2.3874  0.94669  -3.0641  7.7704  1.3025e-13  0.12761
0.257  1.0466  -2.3959  0.94362  -3.0734  7.7704  1.3077e-13  0.12811
0.258  1.0442  -2.4044  0.94055  -3.0826  7.7704  1.3116e-13  0.12861
0.259  1.0418  -2.4128  0.93746  -3.0918  7.7704  1.3156e-13  0.12911
0.26  1.0394  -2.4213  0.93436  -3.101  7.7704  1.3208e-13  0.12961
0.261  1.037  -2.4297  0.93126  -3.1102  7.7704  1.3253e-13  0.13011
0.262  1.0346  -2.4382  0.92814  -3.1193  7.7704  1.3299e-13  0.1306
0.263  1.0321  -2.4466  0.92502  -3.1284  7.7704  1.3344e-13  0.1311
0.264  1.0297  -2.455  0.92188  -3.1374  7.7704  1.3379e-13  0.1316
0.265  1.0272  -2.4634  0.91874  -3.1465  7.7704  1.3424e-13  0.1321
0.266  1.0247  -2.4718  0.91559  -3.1555  7.7704  1.347e-13  0.1326
0.267  1.0223  -2.4802  0.91243  -3.1644  7.7704  1.351e-13  0.1331
0.268  1.0198  -2.4886  0.90926  -3.1734  7.7704  1.355e-13  0.13359
0.269  1.0173  -2.4969  0.90608  -3.1823  7.7704  1.3589e-13  0.13409
0.27  1.0148  -2.5052  0.9029  -3.1912  7.7704  1.3629e-13  0.13459
0.271  1.0123  -2.5136  0.8997  -3.2  7.7704  1.3663e-13  0.13509
0.272  1.0098  -2.5219  0.8965  -3.2088  7.7704  1.3692e-13  0.13559
0.273  1.0072  -2.5302  0.89328  -3.2176  7.7704  1.372e-13  0.13609
0.274  1.0047  -2.5385  0.89006  -3.2263  7.7704  1.3766e-13  0.13659
0.275  1.0022  -2.5467  0.88683  -3.235  7.7704  1.3789e-13  0.13708
0.276  0.9996  -2.555  0.88359  -3.2437  7.7704  1.3823e-13  0.13758
0.277  0.99704  -2.5633  0.88034  -3.2524  7.7704  1.3852e-13  0.13808
0.278  0.99448  -2.5715  0.87709  -3.261  7.7704  1.388e-13  0.13858
0.279  0.9919  -2.5797  0.87382  -3.2696  7.7704  1.3903e-13  0.13908
0.28  0.98932  -2.5879  0.87055  -3.2781  7.7704  1.3926e-13  0.13958
0.281  0.98673  -2.5961  0.86727  -3.2867  7.7704  1.3948e-13  0.14008
0.282  0.98413  -2.6043  0.86398  -3.2952  7.7704  1.3971e-13  0.14057
0.283  0.98152  -2.6124  0.86068  -3.3036  7.7704  1.3994e-13  0.14107
0.284  0.9789  -2.6206  0.85737  -3.312  7.7704  1.4017e-13  0.14157
0.285  0.97628  -2.6287  0.85405  -3.3204  7.7704  1.4051e-13  0.14207
0.286  0.97364  -2.6368  0.85073  -3.3288  7.7704  1.4062e-13  0.14257
0.287  0.971  -2.6449  0.84739  -3.3371  7.7704  1.4074e-13  0.14307
0.288  0.96835  -2.653  0.84405  -3.3454  7.7704  1.4097e-13  0.14356
0.289  0.9657  -2.6611  0.8407  -3.3537  7.7704  1.4119e-13  0.14406
0.29  0.96303  -2.6692  0.83735  -3.3619  7.7704  1.4136e-13  0.14456
0.291  0.96036  -2.6772  0.83398  -3.3701  7.7704  1.4142e-13  0.14506
0.292  0.95768  -2.6852  0.83061  -3.3783  7.7704  1.4165e-13  0.14556
0.293  0.95499  -2.6933  0.82722  -3.3864  7.7704  1.4176e-13  0.14606
0.294  0.95229  -2.7013  0.82383  -3.3945  7.7704  1.4188e-13  0.14656
0.295  0.94958  -2.7092  0.82043  -3.4026  7.7704  1.4199e-13  0.14705
0.296  0.94687  -2.7172  0.81703  -3.4106  7.7704  1.4205e-13  0.14755
0.297  0.94415  -2.7252  0.81361  -3.4186  7.7704  1.421e-13  0.14805
0.298  0.94142  -2.7331  0.81019  -3.4266  7.7704  1.4228e-13  0.14855
0.299  0.93868  -2.741  0.80676  -3.4345  7.7704  1.4233e-13  0.14905
0.3  0.93594  -2.7489  0.80332  -3.4424  7.7704  1.4233e-13  0.14955
0.301  0.93319  -2.7568  0.79987  -3.4503  7.7704  1.4233e-13  0.15004
0.302  0.93043  -2.7647  0.79642  -3.4581  7.7704  1.4239e-13  0.15054
0.303  0.92766  -2.7726  0.79296  -3.4659  7.7704  1.4239e-13  0.15104
0.304  0.92488  -2.7804  0.78949  -3.4737  7.7704  1.4239e-13  0.15154
0.305  0.9221  -2.7882  0.78601  -3.4814  7.7704  1.4245e-13  0.15204
0.306  0.9193  -2.796  0.78253  -3.4891  7.7704  1.4233e-13  0.15254
0.307  0.9165  -2.8038  0.77903  -3.4967  7.7704  1.4222e-13  0.15304
0.308  0.9137  -2.8116  0.77553  -3.5044  7.7704  1.4216e-13  0.15353
0.309  0.91088  -2.8194  0.77202  -3.512  7.7704  1.4216e-13  0.15403
0.31  0.90806  -2.8271  0.76851  -3.5195  7.7704  1.421e-13  0.15453
0.311  0.90523  -2.8348  0.76499  -3.527  7.7704  1.4199e-13  0.15503
0.312  0.90239  -2.8425  0.76145  -3.5345  7.7704  1.4199e-13  0.15553
0.313  0.89954  -2.8502  0.75792  -3.542  7.7704  1.4188e-13  0.15603
0.314  0.89669  -2.8579  0.75437  -3.5494  7.7704  1.4171e-13  0.15653
0.315  0.89383  -2.8656  0.75082  -3.5568  7.7704  1.4165e-13  0.15702
0.316  0.89096  -2.8732  0.74726  -3.5641  7.7704  1.4142e-13  0.15752
0.317  0.88808  -2.8808  0.74369  -3.5714  7.7704  1.4119e-13  0.15802
0.318  0.88519  -2.8884  0.74011  -3.5787  7.7704  1.4097e-13  0.15852
