# t  xE  yE  xM  yM  xA  yA  Etot
0.78  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.79  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.8  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.81  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.82  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.83  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.84  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.85  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.86  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.87  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.88  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.89  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.9  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.91  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.92  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.93  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.94  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.95  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.96  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.97  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.98  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
0.99  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.01  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.02  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.03  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.04  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.05  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.06  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.07  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.08  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.09  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.1  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.11  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.12  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.13  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.14  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.15  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.16  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.17  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.18  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.19  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.2  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.21  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.22  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.23  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.24  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.25  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.26  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.27  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.28  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.29  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.3  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.31  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.32  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.33  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.34  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.35  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.36  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.37  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.38  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.39  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.4  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.41  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.42  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.43  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.44  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.45  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.46  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.47  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.48  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.49  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.5  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.51  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.52  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.53  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.54  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.55  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.56  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.57  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.58  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.59  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.6  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.61  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.62  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.63  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.64  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.65  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.66  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.67  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.68  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.69  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.7  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.71  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.72  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.73  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.74  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.75  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.76  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.77  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.78  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.79  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.8  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.81  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.82  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.83  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.84  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.85  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.86  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.87  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.88  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.89  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.9  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.91  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.92  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.93  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.94  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.95  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.96  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.97  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.98  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
1.99  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.01  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.02  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.03  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.04  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.05  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.06  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.07  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.08  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.09  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.1  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.11  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.12  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.13  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.14  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.15  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.16  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.17  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.18  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.19  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.2  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.21  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.22  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.23  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.24  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.25  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.26  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.27  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.28  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.29  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.3  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.31  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.32  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.33  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.34  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.35  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.36  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.37  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.38  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.39  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.4  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.41  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.42  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.43  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.44  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.45  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.46  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.47  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.48  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.49  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.5  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.51  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.52  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.53  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.54  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.55  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.56  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.57  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.58  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.59  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.6  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.61  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.62  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.63  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.64  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.65  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.66  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.67  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.68  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.69  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.7  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.71  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.72  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.73  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.74  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.75  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.76  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.77  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.78  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.79  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.8  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.81  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.82  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.83  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.84  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.85  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.86  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.87  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.88  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.89  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.9  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.91  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.92  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.93  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.94  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.95  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.96  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.97  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.98  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
2.99  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
3  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
3.01  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
3.02  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
3.03  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
3.04  4.67082e+06  0  -3.79732e+08  0  0  06.34783e+30
